,precision,recall,f1-score,support
0,0.03333333333333333,0.05,0.04,20.0
1,0.22580645161290322,0.44680851063829785,0.3,47.0
2,0.5,0.2777777777777778,0.35714285714285715,18.0
3,0.0,0.0,0.0,6.0
4,0.0,0.0,0.0,12.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,4.0
7,0.0,0.0,0.0,6.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,8.0
10,0.0,0.0,0.0,1.0
11,0.3333333333333333,0.14285714285714285,0.2,7.0
12,0.0,0.0,0.0,5.0
13,0.2,0.2,0.2,5.0
14,0.4,0.4,0.4,5.0
15,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
16,0.6666666666666666,0.5,0.5714285714285714,4.0
17,0.125,0.125,0.125,8.0
18,0.3333333333333333,0.18181818181818182,0.23529411764705882,11.0
19,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0
20,0.6666666666666666,0.5,0.5714285714285714,8.0
21,0.3,0.3,0.3,10.0
22,0.0,0.0,0.0,12.0
23,0.2,0.2222222222222222,0.21052631578947367,9.0
24,0.375,0.8571428571428571,0.5217391304347826,7.0
25,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
26,0.3125,0.5,0.38461538461538464,10.0
27,0.26666666666666666,0.3333333333333333,0.2962962962962963,12.0
28,0.6,0.6,0.6,15.0
29,0.2631578947368421,0.625,0.37037037037037035,8.0
30,0.21428571428571427,0.375,0.2727272727272727,8.0
31,0.3076923076923077,0.4,0.34782608695652173,10.0
32,0.45,0.6,0.5142857142857142,15.0
33,0.46153846153846156,0.5,0.48,12.0
34,0.3333333333333333,0.42857142857142855,0.375,7.0
35,0.2631578947368421,0.3333333333333333,0.29411764705882354,15.0
36,0.375,0.42857142857142855,0.4,14.0
37,0.6521739130434783,0.8823529411764706,0.75,17.0
38,0.5,0.42857142857142855,0.46153846153846156,14.0
39,0.35714285714285715,0.5,0.4166666666666667,10.0
40,0.47058823529411764,0.42105263157894735,0.4444444444444444,19.0
41,0.46153846153846156,0.75,0.5714285714285714,8.0
42,0.5,0.5454545454545454,0.5217391304347826,11.0
43,0.42857142857142855,0.25,0.3157894736842105,12.0
44,0.2727272727272727,0.25,0.2608695652173913,12.0
45,0.4,0.42857142857142855,0.41379310344827586,14.0
46,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
47,0.5555555555555556,0.5,0.5263157894736842,10.0
48,0.2222222222222222,0.2,0.21052631578947367,10.0
49,0.5714285714285714,0.21052631578947367,0.3076923076923077,19.0
50,0.375,0.3,0.3333333333333333,10.0
51,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
52,0.3333333333333333,0.2857142857142857,0.3076923076923077,14.0
53,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
54,0.2,0.2857142857142857,0.23529411764705882,7.0
55,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
56,0.375,0.42857142857142855,0.4,7.0
57,0.23529411764705882,0.3333333333333333,0.27586206896551724,12.0
58,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
59,0.5,0.6,0.5454545454545454,10.0
60,0.23076923076923078,0.2727272727272727,0.25,11.0
61,0.47058823529411764,0.5,0.48484848484848486,16.0
62,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
63,0.42857142857142855,0.6,0.5,10.0
64,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
65,0.42857142857142855,0.5294117647058824,0.47368421052631576,17.0
66,0.5,0.6363636363636364,0.56,11.0
67,0.42857142857142855,0.25,0.3157894736842105,12.0
68,0.4,0.6153846153846154,0.48484848484848486,13.0
69,0.5714285714285714,0.4,0.47058823529411764,10.0
70,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
71,0.5384615384615384,0.4117647058823529,0.4666666666666667,17.0
72,0.3333333333333333,0.18181818181818182,0.23529411764705882,11.0
73,0.5555555555555556,0.2777777777777778,0.37037037037037035,18.0
74,0.21428571428571427,0.25,0.23076923076923078,12.0
75,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
76,0.3333333333333333,0.42857142857142855,0.375,7.0
77,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
78,0.0,0.0,0.0,3.0
79,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
80,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
81,0.75,0.42857142857142855,0.5454545454545454,7.0
82,0.4,0.2222222222222222,0.2857142857142857,9.0
83,0.6666666666666666,0.6,0.631578947368421,10.0
84,0.5,0.5454545454545454,0.5217391304347826,11.0
85,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
86,0.36363636363636365,0.4444444444444444,0.4,9.0
87,0.14285714285714285,0.25,0.18181818181818182,4.0
88,0.23076923076923078,0.3333333333333333,0.2727272727272727,9.0
89,0.25,0.25,0.25,8.0
90,0.5,0.375,0.42857142857142855,8.0
91,0.5,0.5,0.5,6.0
92,0.6,0.3333333333333333,0.42857142857142855,9.0
93,0.5714285714285714,0.5,0.5333333333333333,8.0
94,0.2,0.25,0.2222222222222222,4.0
95,0.5714285714285714,0.4,0.47058823529411764,10.0
96,0.5,0.6,0.5454545454545454,5.0
97,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
98,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
99,0.1111111111111111,0.16666666666666666,0.13333333333333333,6.0
100,0.625,0.7142857142857143,0.6666666666666666,7.0
101,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
102,0.375,0.375,0.375,8.0
103,0.8,0.5714285714285714,0.6666666666666666,14.0
104,0.5,0.2,0.2857142857142857,10.0
105,0.3333333333333333,0.5,0.4,4.0
106,0.25,0.125,0.16666666666666666,8.0
107,0.2857142857142857,0.2,0.23529411764705882,10.0
108,0.25,0.2,0.2222222222222222,5.0
109,0.5,0.42857142857142855,0.46153846153846156,7.0
110,0.2,0.125,0.15384615384615385,8.0
111,0.0,0.0,0.0,7.0
112,0.5,0.3333333333333333,0.4,6.0
113,0.375,0.3333333333333333,0.35294117647058826,9.0
114,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
115,0.3,0.42857142857142855,0.35294117647058826,7.0
116,0.7272727272727273,0.5,0.5925925925925926,16.0
117,0.0,0.0,0.0,3.0
118,0.5,0.2,0.2857142857142857,10.0
119,0.4444444444444444,0.3333333333333333,0.38095238095238093,12.0
120,0.3333333333333333,0.4,0.36363636363636365,5.0
121,0.5,0.7142857142857143,0.5882352941176471,7.0
122,0.6666666666666666,0.8,0.7272727272727273,5.0
123,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
124,1.0,0.36363636363636365,0.5333333333333333,11.0
125,0.6,0.75,0.6666666666666666,8.0
126,0.5,0.42857142857142855,0.46153846153846156,7.0
127,0.5,0.25,0.3333333333333333,4.0
128,0.6,0.6,0.6,5.0
129,1.0,0.25,0.4,4.0
130,0.25,0.5,0.3333333333333333,2.0
131,0.5,0.3333333333333333,0.4,6.0
132,0.6,0.75,0.6666666666666666,4.0
133,0.2,0.25,0.2222222222222222,4.0
134,0.4,0.3333333333333333,0.36363636363636365,6.0
135,0.2,0.25,0.2222222222222222,4.0
136,0.3333333333333333,1.0,0.5,1.0
137,0.75,0.5,0.6,6.0
138,1.0,0.6666666666666666,0.8,3.0
139,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
140,0.75,0.75,0.75,4.0
141,1.0,1.0,1.0,1.0
142,0.5,0.5,0.5,2.0
143,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
144,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
145,0.0,0.0,0.0,3.0
