,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,2.0
2,0.034482758620689655,0.06666666666666667,0.045454545454545456,15.0
3,0.0,0.0,0.0,20.0
4,0.25,0.13636363636363635,0.17647058823529413,22.0
5,0.14285714285714285,0.07692307692307693,0.1,13.0
6,0.0,0.0,0.0,9.0
7,0.0,0.0,0.0,10.0
8,0.0,0.0,0.0,12.0
9,0.0,0.0,0.0,8.0
10,0.0,0.0,0.0,5.0
11,0.0,0.0,0.0,5.0
12,0.0,0.0,0.0,9.0
13,0.2,0.3333333333333333,0.25,3.0
14,0.6666666666666666,0.4,0.5,5.0
15,0.2857142857142857,0.4,0.3333333333333333,5.0
16,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
17,0.25,0.3333333333333333,0.2857142857142857,6.0
18,0.2222222222222222,0.2857142857142857,0.25,7.0
19,1.0,0.125,0.2222222222222222,8.0
20,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
21,0.4,0.5714285714285714,0.47058823529411764,7.0
22,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
23,0.2857142857142857,0.125,0.17391304347826086,16.0
24,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0
25,0.2,0.3333333333333333,0.25,6.0
26,0.0,0.0,0.0,3.0
27,0.3333333333333333,0.5,0.4,10.0
28,0.375,0.5,0.42857142857142855,6.0
29,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0
30,0.5833333333333334,0.4375,0.5,16.0
31,0.3333333333333333,0.4,0.36363636363636365,10.0
32,0.18181818181818182,0.25,0.21052631578947367,8.0
33,0.4117647058823529,0.5833333333333334,0.4827586206896552,12.0
34,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
35,0.6,0.6428571428571429,0.6206896551724138,14.0
36,0.5833333333333334,0.5384615384615384,0.56,13.0
37,0.4,0.9090909090909091,0.5555555555555556,11.0
38,0.4666666666666667,0.3888888888888889,0.42424242424242425,18.0
39,0.2857142857142857,0.36363636363636365,0.32,11.0
40,0.2222222222222222,0.3333333333333333,0.26666666666666666,12.0
41,0.5333333333333333,0.5714285714285714,0.5517241379310345,14.0
42,0.47368421052631576,0.6428571428571429,0.5454545454545454,14.0
43,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
44,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
45,0.42105263157894735,0.7272727272727273,0.5333333333333333,11.0
46,0.35714285714285715,0.5,0.4166666666666667,10.0
47,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
48,0.38461538461538464,0.45454545454545453,0.4166666666666667,11.0
49,0.5,0.23076923076923078,0.3157894736842105,13.0
50,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
51,0.3333333333333333,0.3076923076923077,0.32,13.0
52,0.6,0.46153846153846156,0.5217391304347826,13.0
53,0.5,0.5454545454545454,0.5217391304347826,11.0
54,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
55,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
56,0.36363636363636365,0.2857142857142857,0.32,14.0
57,0.6,0.5,0.5454545454545454,6.0
58,0.5,0.5,0.5,10.0
59,0.5,0.3333333333333333,0.4,12.0
60,0.2857142857142857,0.25,0.26666666666666666,8.0
61,0.2857142857142857,0.4,0.3333333333333333,10.0
62,0.375,0.5454545454545454,0.4444444444444444,11.0
63,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
64,0.5,0.5454545454545454,0.5217391304347826,11.0
65,0.4117647058823529,0.4666666666666667,0.4375,15.0
66,0.5333333333333333,0.6153846153846154,0.5714285714285714,13.0
67,0.29411764705882354,0.38461538461538464,0.3333333333333333,13.0
68,0.5,1.0,0.6666666666666666,7.0
69,0.5,0.625,0.5555555555555556,8.0
70,0.4444444444444444,0.5,0.47058823529411764,16.0
71,0.4,0.5,0.4444444444444444,8.0
72,0.5294117647058824,0.6428571428571429,0.5806451612903226,14.0
73,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
74,0.46153846153846156,0.42857142857142855,0.4444444444444444,14.0
75,0.35714285714285715,0.45454545454545453,0.4,11.0
76,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
77,0.2,0.16666666666666666,0.18181818181818182,12.0
78,0.1111111111111111,0.25,0.15384615384615385,4.0
79,0.4166666666666667,0.5,0.45454545454545453,10.0
80,0.75,0.46153846153846156,0.5714285714285714,13.0
81,0.5,0.6666666666666666,0.5714285714285714,9.0
82,0.4,0.3333333333333333,0.36363636363636365,6.0
83,0.2857142857142857,0.5714285714285714,0.38095238095238093,7.0
84,1.0,0.38461538461538464,0.5555555555555556,13.0
85,0.42857142857142855,0.25,0.3157894736842105,12.0
86,0.5,0.25,0.3333333333333333,12.0
87,0.3,0.3,0.3,10.0
88,0.18181818181818182,0.3333333333333333,0.23529411764705882,6.0
89,0.23076923076923078,0.375,0.2857142857142857,8.0
90,0.4,0.5714285714285714,0.47058823529411764,7.0
91,0.4166666666666667,0.625,0.5,8.0
92,0.4,0.2,0.26666666666666666,10.0
93,0.2857142857142857,0.6666666666666666,0.4,3.0
94,0.4,0.6666666666666666,0.5,6.0
95,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
96,0.3333333333333333,0.25,0.2857142857142857,8.0
97,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
98,0.36363636363636365,0.4,0.38095238095238093,10.0
99,0.4,0.6666666666666666,0.5,3.0
100,0.6666666666666666,0.75,0.7058823529411765,8.0
101,0.5,0.75,0.6,4.0
102,0.625,0.625,0.625,8.0
103,0.6,0.75,0.6666666666666666,12.0
104,0.35714285714285715,0.45454545454545453,0.4,11.0
105,0.75,0.5,0.6,6.0
106,0.5555555555555556,0.45454545454545453,0.5,11.0
107,0.0,0.0,0.0,6.0
108,0.625,0.5555555555555556,0.5882352941176471,9.0
109,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
110,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
111,0.25,0.2857142857142857,0.26666666666666666,7.0
112,0.0,0.0,0.0,6.0
113,0.8,0.8,0.8,5.0
114,0.42857142857142855,0.375,0.4,8.0
115,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
116,0.6666666666666666,0.8571428571428571,0.75,7.0
117,0.45454545454545453,0.38461538461538464,0.4166666666666667,13.0
118,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
119,0.5,0.625,0.5555555555555556,8.0
120,0.5,0.36363636363636365,0.42105263157894735,11.0
121,0.5,0.5,0.5,8.0
122,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
123,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
124,0.8,0.5714285714285714,0.6666666666666666,7.0
125,0.6363636363636364,0.7777777777777778,0.7,9.0
126,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
127,0.8571428571428571,1.0,0.9230769230769231,6.0
128,1.0,0.5714285714285714,0.7272727272727273,7.0
129,0.0,0.0,0.0,4.0
130,0.375,0.75,0.5,4.0
131,0.6666666666666666,0.4,0.5,5.0
132,0.3333333333333333,0.2,0.25,5.0
133,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
134,1.0,0.6,0.75,5.0
135,0.8,0.4444444444444444,0.5714285714285714,9.0
136,0.25,1.0,0.4,1.0
137,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
138,0.8571428571428571,1.0,0.9230769230769231,6.0
139,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
140,0.5,0.5,0.5,2.0
141,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
142,0.3333333333333333,0.5,0.4,2.0
143,0.0,0.0,0.0,3.0
144,1.0,0.75,0.8571428571428571,4.0
145,0.5,1.0,0.6666666666666666,1.0
146,0.6,0.6,0.6,5.0
147,1.0,0.7142857142857143,0.8333333333333334,7.0
148,0.0,0.0,0.0,5.0
149,0.75,0.75,0.75,4.0
150,1.0,0.6,0.75,5.0
151,0.25,0.3333333333333333,0.2857142857142857,3.0
152,1.0,0.5,0.6666666666666666,6.0
153,0.5,0.6666666666666666,0.5714285714285714,3.0
154,0.5,0.4,0.4444444444444444,5.0
155,0.3333333333333333,0.2,0.25,5.0
156,0.3333333333333333,0.5,0.4,2.0
157,0.8,1.0,0.8888888888888888,4.0
158,0.8,0.8,0.8,5.0
159,0.75,0.75,0.75,4.0
160,0.5,1.0,0.6666666666666666,3.0
161,0.3333333333333333,0.5,0.4,2.0
162,0.3333333333333333,0.5,0.4,2.0
163,1.0,1.0,1.0,3.0
164,1.0,1.0,1.0,2.0
165,0.5,0.25,0.3333333333333333,4.0
166,0.0,0.0,0.0,3.0
167,0.5,0.25,0.3333333333333333,4.0
168,0.0,0.0,0.0,0.0
169,0.5,0.3333333333333333,0.4,3.0
170,1.0,1.0,1.0,2.0
171,0.0,0.0,0.0,1.0
172,1.0,0.25,0.4,4.0
173,0.5,0.6666666666666666,0.5714285714285714,3.0
174,0.0,0.0,0.0,2.0
175,0.5,0.3333333333333333,0.4,3.0
176,0.6,1.0,0.75,3.0
177,0.0,0.0,0.0,1.0
178,0.3333333333333333,1.0,0.5,1.0
179,0.3333333333333333,0.5,0.4,2.0
180,0.0,0.0,0.0,1.0
181,0.42857142857142855,1.0,0.6,3.0
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,1.0
184,0.5,0.6666666666666666,0.5714285714285714,3.0
185,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
186,0.0,0.0,0.0,0.0
187,0.5,0.3333333333333333,0.4,3.0
189,0.0,0.0,0.0,0.0
191,1.0,1.0,1.0,1.0
192,0.6666666666666666,1.0,0.8,2.0
195,0.5,0.25,0.3333333333333333,4.0
196,1.0,0.3333333333333333,0.5,3.0
197,1.0,1.0,1.0,1.0
198,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,1.0
203,0.0,0.0,0.0,1.0
204,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,1.0
206,0.0,0.0,0.0,0.0
207,0.5,1.0,0.6666666666666666,1.0
208,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,2.0
210,0.0,0.0,0.0,1.0
211,1.0,0.5,0.6666666666666666,2.0
212,1.0,1.0,1.0,1.0
213,0.0,0.0,0.0,1.0
215,0.0,0.0,0.0,1.0
216,1.0,1.0,1.0,2.0
217,0.0,0.0,0.0,1.0
218,1.0,0.5,0.6666666666666666,2.0
219,0.0,0.0,0.0,2.0
220,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
223,0.0,0.0,0.0,1.0
224,0.0,0.0,0.0,1.0
228,1.0,0.5,0.6666666666666666,2.0
230,0.0,0.0,0.0,1.0
231,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,1.0
235,0.5,0.5,0.5,2.0
237,0.5,1.0,0.6666666666666666,1.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,2.0
243,0.0,0.0,0.0,1.0
246,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,1.0
262,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
267,1.0,1.0,1.0,1.0
268,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,1.0
